Genus	P60	P14	P54	P86	P68	P05	P15	P16	P52	P44	P58	P42	P85	P41	P19	P43	P62	P33	P76	P73	P61	P20	P26	P37	P69	P25	P50	P83	P56	P79	P57	P66	P78	P81	P80	P72	P49	P67	P46	P82	P75
Abiotrophia	1.6870378579037e-06	7.34856919575885e-06	1.13957591812901e-06	1.03993704798664e-06	2.12961755762389e-06	2.89210226228547e-07	9.8178039765322e-06	2.10546042436292e-05	6.10784755338154e-06	3.75325701865244e-06	4.48928140393739e-06	2.29965125515382e-07	4.69609274914854e-06	3.62468736510585e-06	3.56275231910584e-06	9.33305506682937e-07	1.78767894126533e-06	2.90439427818936e-06	5.88395059238775e-06	6.20415064608177e-06	3.0368052247159e-05	1.37257555021693e-06	7.63443333165836e-07	2.87210985149484e-06	6.37494096552376e-07	2.05147969932486e-06	7.90079770976356e-06	5.4169479212282e-06	1.67131431981064e-06	2.58241913227744e-07	2.32096795525993e-07	4.4862207700616e-06	1.27233301111857e-05	2.34723162695714e-05	3.4998905156124e-06	2.55548903178584e-05	4.28740289650558e-06	5.68712207595482e-08	2.98999356961804e-06	2.43404113245755e-06	6.78404624038211e-07
Acetivibrio	0	1.61239729311558e-06	0	0	3.92161771536288e-06	0	6.58400294739912e-08	4.82121684046165e-08	1.34710833168277e-06	4.9610476015644e-08	5.0741983023494e-06	8.26620841414647e-06	3.19453338677295e-06	1.00325091779084e-07	0	6.00861528563735e-07	1.17250076984859e-06	4.43968452528073e-08	3.15689666028201e-05	0	1.84068526964913e-06	0	0	9.51637295732272e-06	0	6.25650979401193e-07	1.40129478181657e-06	0	9.83671690428025e-08	0	0	1.98004221861954e-07	1.38815276121729e-06	0	2.39441227999534e-06	3.22623542708708e-06	1.70543349369764e-06	0	0	3.33718356577025e-06	1.53297578941356e-06
Acetobacter	0	0	0	5.14806860140328e-07	0	0	0	0	0	2.71203935552187e-06	0	0	5.24300536077708e-07	0	0	0	0	2.4270275404868e-07	0	0	0	0	0	0	0	0	0	0	2.68870262050327e-07	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44658414422981e-08	0	0	0	0	0	0	0
Acetonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	2.70545277809009e-06	7.86976760726252e-08	0	0	0	0	5.37818074138501e-07	6.38038293122638e-07	0	3.34132158791195e-08	3.55617109229843e-07	1.35097252707697e-07	0	1.35140164696261e-07	0	0	0	0	0	0	0	0	1.44934919354867e-07	0	2.52043531489876e-07	0	0	2.56626189323566e-07	0	8.12396703013801e-08	0	0	0	0	1.11656574627651e-07	0	3.04880241946551e-08	0	4.74595728787191e-07	8.72810153586667e-07	0
Acidaminococcus	6.45731247496301e-07	8.00815504134639e-06	1.44640472229902e-05	0.000667944274160385	1.46232818872485e-05	2.33832383012779e-05	1.8869542830883e-05	4.31948494813922e-05	0.000191384653234596	9.40281175517735e-05	9.10232709735217e-07	6.69758907903732e-05	1.11575142509709e-05	1.26453064855766e-05	4.15240633135645e-06	2.37181383221985e-05	1.34833093282898e-06	2.41521201609647e-05	1.21542859720831e-05	1.15430986870844e-05	7.43693510309743e-06	1.59033067251277e-05	8.54370474087078e-05	2.14739510528936e-05	1.13130597477823e-05	1.47425837773557e-05	2.45244195157115e-05	1.46834452039102e-05	0.00020021987508401	2.39976216485623e-05	1.43649423208343e-05	0.000100434710932303	8.23985143126471e-05	7.71729300980261e-06	2.42180032065489e-05	2.73520027088529e-05	0.000462696592048597	1.62455284306702e-05	1.69512667470172e-05	5.24603770011271e-05	0.0101306593008882
Acidovorax	2.25902477634095e-07	2.20575176597921e-07	0	8.70096101645625e-07	4.34997940154021e-07	0	1.80406961548181e-06	4.04432332458392e-06	0	1.37511854646179e-06	7.80900388555701e-07	2.32523494607439e-06	5.12338222804666e-07	0	1.69697604364415e-06	0	4.41184827336903e-06	1.17436816475168e-07	6.32610590520715e-07	5.09307974419611e-06	5.67763127134453e-07	6.60692270177192e-07	2.16907581916714e-07	0	1.31975170109511e-06	2.26174297717802e-07	3.23425655776774e-06	5.02658081966758e-06	0	8.74184621271189e-07	1.52610835494983e-05	8.5894789202087e-07	6.40890995061626e-07	0	8.55783490890085e-08	0	1.04561040723923e-06	0	0	3.35770415999568e-06	0
Aciduliprofundum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.73317985050282e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	1.0102004853288e-05	3.13216750769048e-06	0	0	0	9.79053507104572e-08	8.21620741759574e-08	4.70199057573229e-06	0	2.59745987898634e-07	3.71059759586317e-07	4.48686186506483e-07	0	1.25850964526681e-06	0	3.51300969623444e-08	0	1.42486939754607e-07	8.2717038539541e-08	4.67497406752078e-07	0	1.57943269975019e-08	5.76795442550064e-08	2.44213716801289e-07	2.56857097986343e-06	3.21365570907759e-07	3.76531986411038e-08	5.16301479555981e-08	0	4.03383973402394e-07	8.73264624428588e-06	0	0	2.13229649434613e-06	2.75538793012085e-06	2.11724219191608e-07	0	1.28108534497331e-07	4.43937850195729e-06	3.00352539996643e-06	0
Actinobacillus	5.75668099152477e-06	0	0	6.01341346602663e-08	1.51829878197205e-07	7.33956936767254e-07	0	5.92269334708397e-08	4.14455841115715e-07	6.0944704618469e-08	1.81497507922996e-07	0	0	0	7.38267764085382e-08	2.23576382452011e-05	0	2.71748421593749e-06	1.93426664356382e-06	0.000181826764231446	3.18605081099479e-07	2.34252939738231e-07	5.28759590656034e-08	0	5.19934120472101e-07	2.31927556965096e-07	1.95397655941104e-06	6.31412825305918e-06	0	1.3974297596643e-06	8.2232765814751e-06	7.44738619151417e-08	5.68080657295574e-08	1.4141458510301e-06	1.34831026963815e-07	5.84147008406103e-08	6.39985680292976e-08	8.14346241565557e-08	3.59396566247272e-08	5.67861813513383e-07	0
Actinomyces	2.15737864322319e-06	1.23041286673496e-07	1.32496511686364e-07	1.47541718086541e-07	3.71420715225968e-07	1.39202581449797e-06	5.29109024694348e-07	3.80861647196239e-06	7.44963179427179e-07	5.91211332670811e-07	9.14946757853851e-07	3.68784456434704e-07	6.52445409463573e-08	6.96008864857471e-07	2.61155827691487e-06	4.52592542403534e-07	1.28645630758676e-06	1.86364810737395e-06	1.8940749063552e-06	6.0366339006889e-06	5.30313205000536e-07	9.07721910735279e-07	5.76329689914204e-07	1.54167771385757e-06	1.53256024877069e-06	7.91957748682808e-08	2.50206558515042e-06	1.64854892381631e-06	1.57920554098189e-07	2.58648975319573e-06	1.48945648081851e-06	2.71165968529102e-07	1.10384673017471e-06	1.15409418307669e-06	1.56523145062053e-06	2.66360613769595e-06	7.18387729883102e-07	3.23327841281864e-06	2.5497529283079e-06	1.01788207325791e-06	6.27746845919622e-07
Actinoplanes	0	0	0	0	0	0	0	0	0	0	2.67066702409196e-07	0	0	0	0	0	0	4.35992971344934e-07	0	0	0	0	0	0	0	0	0	0	0	9.29148325003808e-08	0	0	0	0	9.1727691538518e-08	0	0	0	0	0	9.30936642434173e-08
Aerococcus	0	0	0	0	0	0	9.40005240080477e-08	0	0	0	0	0	0	0	0	0	0	0	0	4.4494550281741e-08	4.73974188130819e-08	9.41950826959451e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas	3.16983757750492e-06	5.168593247014e-08	0	0	0	2.57829164221233e-06	4.03206382050024e-08	1.46284358329834e-06	0	0	1.96146185558244e-07	0	0	3.05823699847022e-08	0	0	0	0	0	1.0200451323093e-07	0	0	0	1.16096084269635e-07	3.48335950846665e-08	0	5.4569853103049e-08	1.17793226446846e-07	0	2.88415929880364e-08	3.72146123787314e-07	0	7.7783351537394e-08	0	2.18836064099036e-07	0	0	0	5.89229012098483e-07	2.24167497238629e-07	0
Aggregatibacter	0.000108613008841875	4.56628010501623e-08	1.61766371503787e-07	2.0818796451007e-06	1.36448854841974e-06	2.25672871426548e-05	8.82395749960687e-07	2.46119421233798e-06	7.3557568152777e-06	2.08229391036303e-06	6.71002382676354e-06	3.55599331033379e-07	1.49964262328673e-06	1.76963156166045e-07	6.47549667970874e-06	0.000119595006557054	1.4049593086253e-07	4.78858092656683e-06	2.1796131901994e-05	9.77292760555014e-05	1.47747750314431e-05	5.22429515999551e-06	1.11989483644234e-06	4.62661923972244e-06	8.60610967075347e-06	9.30257823458439e-07	8.05447731965015e-06	0.000226268117692058	6.27712674047456e-08	5.00579152901153e-07	4.86170013422274e-05	1.79204712046175e-06	1.56733569788204e-07	1.33429891634616e-05	5.48837364957419e-06	2.26164989910937e-06	4.13009880435487e-07	6.67446403842837e-06	8.3430068946023e-07	1.60061484621981e-05	2.06280718659554e-07
Akkermansia	6.10431586407341e-07	3.6021861752809e-06	6.27636435515135e-06	1.83656548065185e-06	1.30452469151846e-05	8.1841020884301e-05	5.52335513945192e-06	0.000202791464516372	0.00103738148385896	2.10620334048538e-06	0.00337416031960486	2.32417203640235e-06	0.00175432977647326	8.35568674880576e-06	0.000150247014711961	1.3395503811566e-07	0.0163072296607551	6.42226595420007e-07	0.00441128306195555	7.74407922314657e-06	6.61082554606285e-07	1.11375181594955e-05	7.2697721243639e-07	0.0180057801928145	0.000306744925691174	2.45431598953936e-06	2.09357201490623e-06	0.000189071350811357	4.27911277618025e-06	0.00315383352285447	1.91960262048249e-06	1.42451490171646e-05	0.0408650413843293	0.000517357846723403	0.00586841384957566	0.00241162604228314	0.000807234931448942	1.40333978780796e-06	0.0014191234298197	0.00524071137448268	0.0125925211685953
Albidiferax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5049099188953e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
Alicycliphilus	0	0	0	0	0	1.07641299231585e-07	3.2312760822728e-07	7.83924194117446e-07	0	0	2.34413469479433e-07	0	1.32176605733876e-07	3.18245939105798e-08	0	0	0	4.90308594037737e-08	0	0	4.99154066875269e-08	0	0	0	3.62484993337536e-08	0	0	1.40949204086248e-06	0	0	0	0	0	0	0	0	0	3.05806564238963e-08	0	1.40975365160976e-06	0
Alistipes	0.0115154864666042	0.00187274742483636	0.000775425995364449	0.020516559400039	0.0230461980255431	0.0232709777143193	0.0448880487158136	0.00256396088411999	0.036464624668974	0.0478520396706444	0.0242494657647055	0.0221284681847925	0.0143599202777555	0.00182996168603597	0.00452984489604962	0.0261643129590527	0.0350758267798406	0.014036991377932	0.0217736933264567	0.00222736732210973	0.0154169943706892	0.033547083867649	0.0266038865057961	0.0128961325702235	0.0141211608825555	0.0343945633880703	0.0161007281479727	0.0266370739425484	0.0430045619239364	0.0341095633174456	0.000271352796066558	0.0274934498280914	0.0622686426250146	0.0406375706756502	0.0250114819927463	0.0278792727045508	0.00359248282946058	0.000194035947702031	0.0048025200166072	0.00771812900028146	0.0508668588344479
Alkaliphilus	1.5802045233518e-07	2.06063651821742e-07	2.7287232014875e-07	1.06511764166964e-06	5.32497478464405e-07	0	2.69035982505792e-07	2.72648124770935e-07	0	5.76414634183018e-07	1.07976130964702e-06	5.17293647625004e-07	1.26846903889768e-06	0	2.59666592885203e-07	0	2.57176705590477e-07	9.88089076549686e-07	0	5.17057360170576e-07	0	2.69592822888395e-07	0	1.52027186232706e-06	0	0	1.03338119549758e-05	4.01115346652224e-07	2.7814165039689e-07	5.48136082448935e-07	0	5.63617280650913e-07	1.6118709885202e-06	5.80192572980683e-07	2.57857195310888e-06	8.84569256150349e-07	0	1.36294822165124e-06	5.44052043388112e-07	2.61527575579355e-06	7.40652178996517e-07
Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32040162588806e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48066622859101e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39179106594626e-07
Anaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	6.12394751245168e-07	7.22280116341981e-07	1.09729275463289e-06	3.05378378338995e-08	1.28053525652803e-07	1.44498660338788e-07	1.84187145268599e-06	1.50050482712654e-06	6.01020927167791e-08	1.01560419693607e-07	3.42574228820896e-06	7.50592575999387e-07	1.97319651253587e-07	6.71310744277858e-07	1.72121855855335e-07	2.78156564578118e-07	7.35496524629064e-07	8.86067450021414e-07	9.37278476335124e-07	3.90696245720666e-06	4.96091610357959e-06	1.21439100764842e-07	3.4412219621668e-06	1.16057060554409e-06	2.6221429321962e-06	4.95358839228115e-07	9.85636652417994e-07	2.4696660967897e-07	1.55793763112686e-06	2.01604553930882e-06	1.3122835848242e-06	0	7.76893324991126e-06	1.62550166209761e-06	2.75689373009607e-06	1.68066999252571e-06	1.4090662578678e-06	9.73956727894749e-07	2.16766812202786e-06	1.43692663628016e-06	6.79791854182931e-06
Anaerofustis	3.19291491281103e-08	1.09961756460584e-07	4.60689945721239e-07	1.17936212900898e-06	6.90859818798612e-07	7.93535585572873e-07	1.32968227093971e-06	3.81532057849118e-07	7.00963456719892e-07	8.32937488987473e-07	1.85736012938068e-06	4.32973938060092e-07	7.35830380131328e-07	2.85196290854036e-07	3.59776938251032e-07	5.53411238779184e-07	2.1515182945596e-06	1.70778844979515e-06	1.16163299071037e-06	1.35668275861462e-06	2.42014093030433e-08	1.04564387804614e-06	1.48943789735908e-06	2.00988222569616e-06	2.04288459131224e-06	2.78742737877243e-07	2.24658909530935e-06	1.48540153860006e-07	4.17145997639183e-07	1.73754659361181e-06	4.99846669015376e-07	6.4848814817294e-07	3.76087965848303e-06	1.78784717981097e-06	1.01710551987686e-06	2.11579828899385e-06	1.01491156869968e-06	1.8802325678696e-06	2.25109404642587e-06	1.08084682840396e-06	5.1603027517853e-06
Anaeromyxobacter	0	0	0	0	0	0	0	0	0	0	8.95585126552925e-08	0	9.47531089297063e-08	0	0	0	8.98569212304076e-08	0	1.80382939465746e-07	0	0	0	0	1.83235988425569e-07	0	0	0	9.57956962067724e-08	0	0	0	0	5.7236805848271e-08	0	1.73761781221934e-07	0	0	0	0	8.71012263366961e-08	0
Anaerostipes	6.48328941243876e-06	1.66154978442067e-05	1.08735924356062e-05	1.12179488207828e-05	1.36861525454886e-05	3.17091201774388e-06	9.25323715076832e-06	4.09913985120668e-05	9.9948902911925e-06	8.957745885931e-06	5.75542400648707e-06	1.05133254364775e-05	8.04639906461225e-06	1.30080112665106e-05	7.10776696629777e-06	6.73472057226901e-06	1.0674669591819e-05	3.75613536598201e-05	1.91804077476858e-05	0.000137454516011518	9.75021938002962e-06	2.55979490869965e-05	2.06530093516132e-05	3.8894316666688e-05	5.40051985311082e-06	8.72992595853196e-06	4.60794833901649e-05	1.07549132474397e-05	9.91286910337361e-06	1.11924899868296e-05	0.000128851000470607	7.68785129987761e-06	7.75374409976382e-05	6.93658374941358e-06	5.18484869071012e-05	1.60390056368854e-05	3.66919557033239e-05	2.85844242114671e-05	3.00771901937197e-05	7.44496790917484e-06	1.1171008998583e-05
Anaerotruncus	9.71251351657442e-05	0.000635599797967305	0.00015455629758616	0.000296509773104636	0.00106966755876582	0.000109610445544469	0.00026438554364375	9.8973835127622e-05	0.000169866967507634	0.000451477343107549	0.000356388371563838	0.000326013868240523	0.000377858660560731	0.00026497517213975	0.000129872786185306	0.000174006808194824	0.000511338824290083	0.000756741032537352	0.000397087612869714	0.000264290405117704	0.000233411070326157	0.000502740635654014	0.000142512298158675	0.000556644505929278	0.000139336904974552	0.000128623237076688	0.000725388609298633	0.000107976239084812	0.000245224516290229	0.000676068219663277	0.000160454337921466	0.000154346242773164	0.000545670608191628	0.000394552210446558	0.0011375091680746	0.000483495396156623	0.000337536212063922	0.000456042380191907	0.000174154712637972	0.000236761056488612	0.000984661990731771
Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter	2.62935670688865e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	3.40663389175953e-06	1.01229416839904e-06	7.66840102030233e-07	6.87237135916458e-07	1.48789458883979e-06	6.55832008706669e-07	2.21989834409205e-07	1.26421690463249e-05	1.73611963833218e-06	1.87299343944656e-07	1.89493522137249e-06	1.55099649478805e-06	2.28331160473215e-06	6.07316490459075e-06	7.21568552810913e-07	1.84496465708259e-06	2.1536934174249e-06	2.31375456249534e-06	3.8798124546178e-06	2.40846287396184e-06	5.3872813114856e-07	9.54368209434175e-07	1.93151791677388e-07	4.02285676153643e-06	3.62892908660836e-06	9.19123360867303e-07	6.10687788935035e-06	7.42092145304025e-07	8.18367778500948e-07	3.35367453834876e-06	2.06296875517466e-06	1.03008977401046e-06	1.08142921059127e-06	6.75534549290458e-07	2.17393593107758e-06	2.64999855146702e-06	3.04160678362751e-06	1.07260193333667e-06	6.29641832118547e-07	7.40075648492267e-07	1.58406831638103e-06
Azoarcus	0	0	0	0	0	0	0	0	0	0	1.74902507067983e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospira	0	0	9.79102884330346e-06	0	0	2.26988252202345e-06	2.46894404053418e-06	0	0	0	6.29945470371972e-07	0	0	0	0	0	0	1.23408180024752e-06	0	0	1.34792659409355e-07	0	0	5.15545323366855e-07	0	0	0	3.72992833950813e-06	0	0	0	0	0	0	0	0	0	0	0	1.42948984963905e-06	0
Azospirillum	0	0	0	0	0	0	0	0	0	0	0	3.10031326143252e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azotobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2750160783189e-07	0	0	0
Bacillus	8.2166226193111e-07	5.90975001451034e-07	8.95844975582689e-07	3.91345234793864e-06	1.6025159965108e-06	7.96088081170806e-07	1.47208367786188e-07	2.9836964597574e-07	4.28227410607051e-07	1.53511661633313e-07	6.89614324003097e-06	2.82690770135109e-06	5.51895301134429e-07	5.73489225829849e-07	8.55746045301473e-07	3.0220499133768e-06	4.56595122005181e-06	1.08792943650717e-05	2.4470779237828e-06	8.59414450477918e-07	3.38387133055462e-06	1.61227379064336e-06	1.80057888140947e-06	5.41131655895513e-06	1.3737996992321e-06	0	1.85220918440883e-05	0	3.04381428736219e-07	4.46010887957462e-06	1.50964937008061e-07	1.43833255503495e-07	1.39943493776703e-05	7.48614103918599e-07	1.62314761451342e-05	9.88670261943338e-07	1.75768191342302e-06	4.53527934002603e-06	1.48844426964672e-07	8.57734742101056e-06	1.18363562273014e-05
Bacteroides	0.535184239855211	0.16464254280276	0.642120984777505	0.402995494536696	0.549082079306923	0.233797168882338	0.639056701962904	0.355708417403055	0.23888593299327	0.601341336318023	0.268338831501825	0.494805060279159	0.144683384933062	0.727606385608559	0.0897534782121461	0.106548628253611	0.291244889803049	0.201534929940152	0.1484650302674	0.33273674793224	0.624951912601789	0.568432354202813	0.690909540215853	0.289802678057107	0.158849834924339	0.487346640114297	0.357590016958745	0.39687759847158	0.729100326022876	0.532321166451439	0.496157776491733	0.147596865050645	0.368669302960889	0.503466220507744	0.243933388689625	0.386093395388124	0.0519040191709719	0.435236172209109	0.727369764536919	0.0571150731481402	0.434553937462912
Bdellovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	0.000194258777717883	2.90217908563176e-05	0.000154639833694903	5.16318125149299e-05	0.000246604132971188	0.000435039073506178	0.000189594278320349	0.000147277693599841	0.000399995629747248	6.04065360978424e-05	0.000299894715350597	0.000107321815412539	4.48862585920817e-05	5.88335424677274e-05	0.000299292530358178	4.77081161602662e-05	0.00158899607945202	0.00475050394118425	0.000346865923721073	0.00130698747316328	0.000115007724846412	0.000209673441868135	0.000398061370825295	0.00164100959965537	0.00341311014011228	5.65158594178645e-05	0.00153692523377058	2.11904049935384e-05	0.000248799562369343	0.00564876959750268	0.000268335175766668	6.8080620749643e-05	0.000276171421312231	0.000313145856610822	0.00152156351757861	0.0014724001597791	0.00020974318898392	0.000498651646054296	0.000391071876774612	0.000503450970624402	0.0106523671672719
Bilophila	0.00129575216134096	0.00174680958084847	0.00337144875815783	0.00327681442443131	0.00395957827996935	0.00132570898619973	0.00185391342955969	0.000801927471325922	0.000975411953430578	0.0029696205939816	0.000236142056448455	0.00254573356098439	0.00100744555738444	0.00318924466929825	3.460447438361e-05	0.00105992307667767	0.00558750143911541	0.00525383601613152	0.000375394261463279	0.000712738696596946	0.00110368163988206	0.00199613941027843	0.00039044228250117	0.00327622591411253	0.00109138879606217	0.0011550123180081	0.00618765573991488	0.00123247612970508	3.59803251050028e-06	0.00338406090670918	3.81675006106259e-05	0.00178864543579936	0.00371745162174708	0.00310490839117719	0.00279859247296884	0.00355910916922592	0.00246918163939027	4.73154903622147e-06	0.00725455906429541	0.00194416151715003	0.00176817791546686
Blautia	0.00200521116938299	0.00221598658042231	0.00141144020742685	0.00370340635886667	0.00260623099520678	0.00164643306247991	0.00304927222842395	0.00376586559756191	0.00219480775235735	0.00134487425536868	0.0041299018260781	0.00356110419204328	0.00228255571669207	0.00445275329823859	0.00103840917921782	0.00150622516903688	0.00363083269508743	0.00656509390640691	0.00324028139718505	0.00881227439505865	0.00279991631406562	0.00248765939118079	0.00830990501089914	0.00780328140698277	0.00293570967328761	0.00232479581130779	0.0145208280783321	0.00139781142516243	0.00116619538077017	0.0039451231878113	0.0077987457008778	0.00214120880123702	0.0176138837434826	0.00385003828125748	0.0158794044200976	0.00196843306082014	0.00393875016871725	0.00181557653222894	0.00354252778725449	0.0021078631736226	0.00538698565303763
Bordetella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4107109791312e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7890802475928e-07	0	0	0	0	7.35193401960587e-07	0
Brachyspira	0	1.58190278166186e-07	0	0	0	3.00612949044631e-07	1.57617040255918e-07	0	7.6417686067925e-07	1.97239225856136e-06	1.95219464959718e-06	4.69744433550382e-07	1.58878950326578e-06	0	0	3.1155782962564e-07	1.50669181053007e-07	1.47092578211321e-07	9.0738084700951e-07	1.51461246918654e-07	0	0	0	2.45795346090056e-06	3.78595437485871e-07	1.62205809474383e-07	3.04268271847303e-07	3.21254253945944e-07	0	1.56735121490541e-07	0	7.70016418352043e-07	3.06419263632158e-07	6.79821600664235e-07	1.08312799402553e-06	1.57542678024676e-06	1.34978798025428e-06	1.59698983547014e-07	1.59368780386417e-07	1.46048520928197e-06	0
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49717839756569e-05	0	0	0	0	1.01390580262148e-06	0	2.50912111530687e-07	0	0	0	0	0	0	0	0	0	4.10440134853762e-07	0	0	4.8546182333093e-08	1.521979323357e-06	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	1.26291936315124e-07	0	0	0	0	1.33119971431863e-07	0	0	0	0	1.37654750933135e-07	0	0	1.33174545110318e-07	0	2.81425411796883e-08	0	0	3.52772486994338e-07	0	3.44578365656534e-07	0	0	0	1.63991479047462e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	7.46261159648557e-07	2.7543508823852e-07	0
Buchnera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulleidia	1.82262226272963e-07	6.92957413205859e-08	0	0	0	0	1.46883790313118e-07	0	0	0	0	4.47160566552767e-07	3.51207541845483e-06	0	0	0	0	0	0	1.91418013375879e-07	6.04793809863151e-07	0	0	4.11042892954654e-08	0	0	0	6.97459893435273e-08	2.06760064587879e-07	0	8.24859965095592e-08	0	0	4.27650275667845e-06	3.12661773280159e-06	1.13320936267197e-07	0	5.75564603395763e-07	0	0	0
Burkholderia	0.000681153088235125	1.3844092571252e-05	6.02222905939294e-05	6.54061462625563e-06	0.000223266738207459	2.11864148734064e-05	1.54903194159055e-05	2.10553971482711e-05	6.18802892425311e-06	1.09065337716015e-05	2.20084759643603e-05	1.67632268560564e-05	3.42365047025165e-06	0.000242307637775541	4.58143891805299e-05	9.08932132813026e-06	2.32902637062795e-05	1.28157150008534e-05	5.55047993842175e-06	0.000148408934793001	0.000101760832281234	9.63568699681065e-06	0.000200032669879709	3.68274478192592e-05	2.6152407300596e-05	0.000260473286126594	6.79123308107356e-05	9.96890884900968e-06	6.32705688868489e-06	1.29092456970177e-05	2.01455487790646e-05	6.24889342247482e-06	4.82482010333191e-05	6.35322712081909e-06	9.49232439211551e-06	3.78151413250475e-05	3.08125325190077e-06	1.29135936745292e-05	1.06004135544476e-05	0.000139468154651096	5.70380044784912e-07
Butyrivibrio	0.00014280104779469	0.000282454944779008	0.000111051336155387	0.000442849614145826	0.000449186464954323	3.14225342853546e-05	8.27684908857737e-05	0.000275245427085173	0.000135538518149774	0.000122205568256016	0.000276645218407448	0.000178743079083945	0.000197533357170829	2.12684175150081e-05	9.88456200619344e-05	8.76158848318186e-05	0.000160879650537831	0.000305053526635532	0.000384527342078935	0.000579929239931596	0.000240125707833767	0.000233057521530808	9.87117801992362e-05	0.000301828014791884	8.9692387109436e-05	8.2046291107019e-05	0.000415565832770144	0.000126471880792636	8.457521290179e-05	0.000112562556932397	0.000493929245990815	6.93040406193339e-05	0.000175428179612652	0.000271347983330594	0.000619616575993625	0.000151178754847625	0.000300513554402136	0.00011415578047414	0.000129351494242672	0.000125349324446583	0.000120804083822209
Caldalkalibacillus	0	0	0	0	0	0	0	0	0	0	8.25928505598808e-07	0	0	0	0	0	0	0	2.77255258808461e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldanaerobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38713203654343e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48421325981484e-07	0	0	0	0	0	0	0	0	0
Caldicellulosiruptor	0	0	0	0	2.85970868064218e-07	0	0	0	5.71173217661542e-07	0	0	8.611981281757e-07	2.91278075598727e-07	0	0	0	2.76226831930512e-07	0	2.77255258808461e-07	0	2.95795002592752e-07	0	0	1.40820250364095e-06	0	0	0	0	0	0	0	0	0	0	5.67352758775278e-07	5.7765648609048e-07	0	0	0	8.03266865105086e-07	5.75801552912989e-07
